time,latitude,longitude,sst
1850-01-16T11:59:59.505615,89.5,-179.5,271.37
1850-01-16T11:59:59.505615,89.5,-178.5,271.37
1850-01-16T11:59:59.505615,89.5,-177.5,271.38
1850-01-16T11:59:59.505615,89.5,-176.5,271.38
1850-01-16T11:59:59.505615,89.5,-175.5,271.38
1850-01-16T11:59:59.505615,89.5,-174.5,271.38
1850-01-16T11:59:59.505615,89.5,-173.5,271.38998
1850-01-16T11:59:59.505615,89.5,-172.5,271.38998
1850-01-16T11:59:59.505615,89.5,-171.5,271.38998
1850-01-16T11:59:59.505615,89.5,-170.5,271.38998
1850-01-16T11:59:59.505615,89.5,-169.5,271.38998
1850-01-16T11:59:59.505615,89.5,-168.5,271.38998
1850-01-16T11:59:59.505615,89.5,-167.5,271.38998
1850-01-16T11:59:59.505615,89.5,-166.5,271.38998
1850-01-16T11:59:59.505615,89.5,-165.5,271.38998
1850-01-16T11:59:59.505615,89.5,-164.5,271.38998
1850-01-16T11:59:59.505615,89.5,-163.5,271.4
1850-01-16T11:59:59.505615,89.5,-162.5,271.4
1850-01-16T11:59:59.505615,89.5,-161.5,271.4
1850-01-16T11:59:59.505615,89.5,-160.5,271.4
1850-01-16T11:59:59.505615,89.5,-159.5,271.4
1850-01-16T11:59:59.505615,89.5,-158.5,271.41
1850-01-16T11:59:59.505615,89.5,-157.5,271.41998
1850-01-16T11:59:59.505615,89.5,-156.5,271.43
1850-01-16T11:59:59.505615,89.5,-155.5,271.43
1850-01-16T11:59:59.505615,89.5,-154.5,271.36
1850-01-16T11:59:59.505615,89.5,-153.5,271.36
1850-01-16T11:59:59.505615,89.5,-152.5,271.36
1850-01-16T11:59:59.505615,89.5,-151.5,271.36
1850-01-16T11:59:59.505615,89.5,-150.5,271.36
1850-01-16T11:59:59.505615,89.5,-149.5,271.36
1850-01-16T11:59:59.505615,89.5,-148.5,271.36
1850-01-16T11:59:59.505615,89.5,-147.5,271.36
1850-01-16T11:59:59.505615,89.5,-146.5,271.36
1850-01-16T11:59:59.505615,89.5,-145.5,271.36
1850-01-16T11:59:59.505615,89.5,-144.5,271.36
1850-01-16T11:59:59.505615,89.5,-143.5,271.36
1850-01-16T11:59:59.505615,89.5,-142.5,271.36
1850-01-16T11:59:59.505615,89.5,-141.5,271.36
1850-01-16T11:59:59.505615,89.5,-140.5,271.36
1850-01-16T11:59:59.505615,89.5,-139.5,271.36
1850-01-16T11:59:59.505615,89.5,-138.5,271.36
1850-01-16T11:59:59.505615,89.5,-137.5,271.36
1850-01-16T11:59:59.505615,89.5,-136.5,271.36
1850-01-16T11:59:59.505615,89.5,-135.5,271.36
1850-01-16T11:59:59.505615,89.5,-134.5,271.36
1850-01-16T11:59:59.505615,89.5,-133.5,271.36
1850-01-16T11:59:59.505615,89.5,-132.5,271.36
1850-01-16T11:59:59.505615,89.5,-131.5,271.36
1850-01-16T11:59:59.505615,89.5,-130.5,271.36
1850-01-16T11:59:59.505615,89.5,-129.5,271.36
1850-01-16T11:59:59.505615,89.5,-128.5,271.36
1850-01-16T11:59:59.505615,89.5,-127.5,271.36
1850-01-16T11:59:59.505615,89.5,-126.5,271.36
1850-01-16T11:59:59.505615,89.5,-125.5,271.36
1850-01-16T11:59:59.505615,89.5,-124.5,271.36
1850-01-16T11:59:59.505615,89.5,-123.5,271.36
1850-01-16T11:59:59.505615,89.5,-122.5,271.36
1850-01-16T11:59:59.505615,89.5,-121.5,271.36
1850-01-16T11:59:59.505615,89.5,-120.5,271.36
1850-01-16T11:59:59.505615,89.5,-119.5,271.36
1850-01-16T11:59:59.505615,89.5,-118.5,271.36
1850-01-16T11:59:59.505615,89.5,-117.5,271.36
1850-01-16T11:59:59.505615,89.5,-116.5,271.36
1850-01-16T11:59:59.505615,89.5,-115.5,271.36
1850-01-16T11:59:59.505615,89.5,-114.5,271.36
